CO-BRANCH;OFFICE;PRODUCT;GROUP;Dec-24;Jan-25;Feb-25;Mar-25;Apr-25;May-25;Jun-25;Jul-25;Aug-25;Sep-25;Oct-25;Nov-25;Dec-25;Jan-26;Feb-26;Mar-26;Apr-26;May-26;Jun-26
221 - PEKANBARU;221 - PEKANBARU;Giro;CASA;40.815;32.349;43.071;43.568;46.836;45.381;26.322;34.152;31.553;32.871;31.687;34.981;37.907;44.676;44.637;42.497;44.527;40.849;39.417
221 - PEKANBARU;221 - PEKANBARU;Tabungan;CASA;167.989;166.257;156.396;159.812;156.598;156.075;157.431;152.817;149.629;148.615;147.336;147.022;148.721;144.453;145.243;144.230;140.409;139.928;139.669
221 - PEKANBARU;227 - KCP KAMPAR;Deposito;TD;35.666;35.816;35.257;35.647;34.755;34.395;34.116;34.437;34.743;34.359;35.159;35.214;34.698;33.915;33.737;34.587;33.743;34.685;34.095
221 - PEKANBARU;227 - KCP KAMPAR;Giro;CASA;2.859;3.325;2.379;1.369;2.112;1.818;2.556;2.421;2.714;2.318;2.506;3.375;4.934;3.740;2.869;3.207;2.149;4.701;4.442
221 - PEKANBARU;227 - KCP KAMPAR;Tabungan;CASA;37.792;34.254;32.405;34.913;35.671;36.622;34.141;32.076;31.685;32.816;33.427;33.743;33.881;33.301;33.125;32.753;34.453;33.385;34.559
221 - PEKANBARU;411 - BATAM;Deposito;TD;34.315;34.106;35.843;36.049;35.456;34.776;34.107;30.723;30.478;28.746;29.300;30.232;30.745;30.381;30.299;30.282;30.298;30.324;30.495
221 - PEKANBARU;411 - BATAM;Giro;CASA;14.898;15.553;13.867;13.842;14.382;14.414;16.672;17.334;15.904;16.859;14.003;15.973;17.821;16.708;15.902;15.378;15.210;15.021;15.193
221 - PEKANBARU;411 - BATAM;Tabungan;CASA;86.649;85.948;82.499;85.628;80.268;80.510;78.496;77.762;75.364;74.424;73.955;73.883;75.871;70.118;71.315;72.137;70.913;69.877;69.422
221 - PEKANBARU;451 - TANJUNG PINANG;Deposito;TD;41.549;42.734;40.805;40.517;40.154;39.240;38.432;38.384;39.085;40.255;39.053;39.226;39.200;39.360;36.833;37.069;34.694;34.622;34.513
221 - PEKANBARU;451 - TANJUNG PINANG;Giro;CASA;4.232;4.059;4.804;5.022;4.054;3.810;4.034;4.281;4.400;3.598;3.430;3.524;5.279;9.114;9.065;8.683;7.033;6.582;7.261
221 - PEKANBARU;451 - TANJUNG PINANG;Tabungan;CASA;59.027;57.440;55.586;56.852;55.469;54.308;55.162;55.755;54.466;51.953;52.847;52.982;53.130;51.689;50.848;51.029;53.627;52.846;51.625
241 - BANDA ACEH;241 - BANDA ACEH;Deposito;TD;41.984;42.812;40.978;38.639;38.086;38.343;37.139;36.359;35.626;35.252;35.161;33.790;34.646;33.114;33.467;31.312;30.156;29.992;29.962
241 - BANDA ACEH;241 - BANDA ACEH;Giro;CASA;4.678;4.209;4.947;4.457;4.283;3.920;3.777;6.090;4.112;3.907;4.769;4.855;4.644;5.639;6.632;6.446;6.080;5.463;5.471
241 - BANDA ACEH;241 - BANDA ACEH;Tabungan;CASA;49.577;48.848;47.831;47.366;46.615;45.209;45.769;44.903;44.513;44.869;44.462;44.032;43.490;39.308;40.163;38.617;38.181;37.942;37.984
